id,Accuracy,Precision,Recall,F1
304,0.79,0.3983739837398374,0.6125,0.48275862068965514
305,0.831,0.45454545454545453,0.28125,0.34749034749034746
306,0.844,0.5588235294117647,0.11875,0.1958762886597938
307,0.842,0.5294117647058824,0.1125,0.18556701030927836
308,0.836,0.4824561403508772,0.34375,0.40145985401459855
309,0.836,0.4818181818181818,0.33125,0.39259259259259266
310,0.839,0.4927536231884058,0.2125,0.29694323144104806
311,0.846,0.5681818181818182,0.15625,0.2450980392156863
312,0.845,0.5757575757575758,0.11875,0.19689119170984454
313,0.834,0.4583333333333333,0.20625,0.28448275862068967
314,0.835,0.47368421052631576,0.28125,0.35294117647058826
315,0.845,0.5757575757575758,0.11875,0.19689119170984454
316,0.794,0.40336134453781514,0.6,0.4824120603015075
317,0.845,0.5609756097560976,0.14375,0.2288557213930348
318,0.846,0.5681818181818182,0.15625,0.2450980392156863
319,0.84,0.5,0.375,0.42857142857142855
320,0.846,0.5681818181818182,0.15625,0.2450980392156863
321,0.844,0.5476190476190477,0.14375,0.22772277227722768
322,0.838,0.4915254237288136,0.3625,0.41726618705035967
323,0.787,0.3852813852813853,0.55625,0.4552429667519181
324,0.844,0.55,0.1375,0.22000000000000003
325,0.836,0.47058823529411764,0.2,0.2807017543859649
326,0.789,0.398406374501992,0.625,0.48661800486618
327,0.846,0.5681818181818182,0.15625,0.2450980392156863
328,0.847,0.5813953488372093,0.15625,0.24630541871921183
329,0.845,0.5581395348837209,0.15,0.23645320197044334
330,0.842,0.5084745762711864,0.375,0.4316546762589928
331,0.847,0.5660377358490566,0.1875,0.28169014084507044
332,0.841,0.504,0.39375,0.44210526315789467
333,0.846,0.5681818181818182,0.15625,0.2450980392156863
334,0.848,0.6,0.15,0.24
335,0.786,0.38934426229508196,0.59375,0.47029702970297027
336,0.845,0.5675675675675675,0.13125,0.21319796954314724
337,0.846,0.5882352941176471,0.125,0.20618556701030927
338,0.845,0.5714285714285714,0.125,0.20512820512820512
339,0.844,0.5357142857142857,0.1875,0.2777777777777778
340,0.839,0.49206349206349204,0.19375,0.2780269058295964
341,0.83,0.47023809523809523,0.49375,0.48170731707317077
342,0.801,0.4039408866995074,0.5125,0.45179063360881544
343,0.844,0.55,0.1375,0.22000000000000003
344,0.816,0.4294117647058823,0.45625,0.4424242424242424
345,0.834,0.46808510638297873,0.275,0.3464566929133859
346,0.836,0.47368421052631576,0.225,0.30508474576271183
347,0.842,0.5080645161290323,0.39375,0.4436619718309859
348,0.835,0.48322147651006714,0.45,0.46601941747572817
349,0.835,0.4796747967479675,0.36875,0.4169611307420495
350,0.843,0.5319148936170213,0.15625,0.24154589371980675
351,0.843,0.5217391304347826,0.225,0.314410480349345
352,0.845,0.5581395348837209,0.15,0.23645320197044334
353,0.844,0.5344827586206896,0.19375,0.28440366972477066
354,0.787,0.39271255060728744,0.60625,0.4766584766584766
355,0.847,0.5813953488372093,0.15625,0.24630541871921183
356,0.831,0.4563106796116505,0.29375,0.3574144486692016
357,0.835,0.4838709677419355,0.46875,0.47619047619047616
358,0.83,0.46987951807228917,0.4875,0.4785276073619632
359,0.832,0.4701492537313433,0.39375,0.42857142857142855
360,0.776,0.3814814814814815,0.64375,0.4790697674418604
361,0.788,0.396,0.61875,0.4829268292682927
362,0.845,0.5555555555555556,0.15625,0.24390243902439024
363,0.847,0.5813953488372093,0.15625,0.24630541871921183
364,0.834,0.4765625,0.38125,0.4236111111111111
365,0.787,0.38427947598253276,0.55,0.45244215938303345
366,0.847,0.5897435897435898,0.14375,0.23115577889447236
367,0.835,0.463768115942029,0.2,0.2794759825327511
368,0.796,0.405982905982906,0.59375,0.48223350253807107
369,0.841,0.5046728971962616,0.3375,0.4044943820224719
370,0.845,0.5675675675675675,0.13125,0.21319796954314724
371,0.838,0.4857142857142857,0.2125,0.2956521739130435
372,0.849,0.6666666666666666,0.1125,0.1925133689839572
373,0.838,0.49193548387096775,0.38125,0.4295774647887324
374,0.844,0.5434782608695652,0.15625,0.24271844660194175
375,0.848,0.5952380952380952,0.15625,0.24752475247524752
376,0.845,0.5510204081632653,0.16875,0.2583732057416268
377,0.842,0.5208333333333334,0.15625,0.2403846153846154
378,0.833,0.46153846153846156,0.2625,0.3346613545816733
379,0.813,0.42105263157894735,0.45,0.43504531722054385
380,0.845,0.5581395348837209,0.15,0.23645320197044334
381,0.84,0.5,0.2625,0.34426229508196726
382,0.786,0.3911290322580645,0.60625,0.47549019607843135
383,0.832,0.45454545454545453,0.25,0.3225806451612903
384,0.846,0.5714285714285714,0.15,0.23762376237623759
385,0.79,0.3922413793103448,0.56875,0.46428571428571425
386,0.846,0.59375,0.11875,0.19791666666666666
387,0.789,0.3967611336032389,0.6125,0.48157248157248167
388,0.845,0.5609756097560976,0.14375,0.2288557213930348
389,0.84,0.5,0.375,0.42857142857142855
390,0.805,0.41935483870967744,0.56875,0.4827586206896552
391,0.827,0.44036697247706424,0.3,0.35687732342007433
